"Qubit","T1 (us)","T2 (us)","Readout assignment error","Init error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"10","315.5770389615311","24.085922439427208","0.00634765625","0.0019547591633073797","0.0078125","0.003173828125","2180","0.00017952820323989747","32","0.00017952820323989747","0","0.00017952820323989747","0.00017952820323989747","9:0.005642274833039251;11:0.0013027630648820843","9:68;11:68","9:0.004194249539053452;11:0.0015135020619305162","0.00634765625","0.001953125","Yes"
"11","402.6196921677739","106.43996233873125","0.00537109375","0.005150112449425878","0.0048828125","0.005859375","2180","0.00023473846275295107","32","0.00023473846275295107","0","0.00023473846275295107","0.00023473846275295107","18:0.002018926413077965;10:0.0013027630648820843;12:0.0013108039552390538","18:68;10:68;12:68","18:0.00202750970369589;10:0.0015135020619305162;12:0.0011883979202994","0.00537109375","0.001220703125","Yes"
"12","317.29000424376045","308.31969184633846","0.036865234375","","0.052978515625","0.020751953125","2180","0.000334054565933689","32","0.000334054565933689","0","0.000334054565933689","0.000334054565933689","13:0.0015254307742404438;11:0.0013108039552390538","13:68;11:68","13:0.0016443729368048332;11:0.0011883979202994","0.036865234375","0.045166015625","Yes"
"13","295.21775990044483","450.92156802037573","0.0106201171875","0.003897063317439786","0.008056640625","0.01318359375","2180","0.00039519048956201757","32","0.00039519048956201757","0","0.00039519048956201757","0.00039519048956201757","12:0.0015254307742404438;14:0.0013324332656880766","12:68;14:68","12:0.0016443729368048332;14:0.0012714946395014082","0.0106201171875","0.008056640625","Yes"
"14","353.95510637339015","440.66072473861146","0.026611328125","","0.031494140625","0.021728515625","2180","0.00012114840034517518","32","0.00012114840034517518","0","0.00012114840034517518","0.00012114840034517518","15:0.0020114848929728424;13:0.0013324332656880766","15:68;13:68","15:0.00181569101833029;13:0.0012714946395014082","0.026611328125","0.022705078125","Yes"
"15","307.28041860489606","307.51799031993335","0.0054931640625","0.003420132060945805","0.005615234375","0.00537109375","2180","0.0001230075760148428","32","0.0001230075760148428","0","0.0001230075760148428","0.0001230075760148428","14:0.0020114848929728424;19:0.0017027037523688893","14:68;19:68","14:0.00181569101833029;19:0.001883622527997314","0.0054931640625","0.00537109375","Yes"
"16","307.2601918044357","193.51818038917588","0.01171875","","0.014892578125","0.008544921875","2180","0.00014878649569545794","32","0.00014878649569545794","0","0.00014878649569545794","0.00014878649569545794","23:0.0013135293800221604;3:0.005969632879598147","23:68;3:68","23:0.0010198148737358692","0.01171875","0.026611328125","Yes"
"17","226.0031124877062","70.0885747564289","0.010009765625","0.0016995658163079543","0.013916015625","0.006103515625","2180","0.0002927213292954707","32","0.0002927213292954707","0","0.0002927213292954707","0.0002927213292954707","7:0.006332522358437953;27:0.0012994409796859008","7:68;27:68","7:0.004418643360480173;27:0.0014514480851181566","0.010009765625","0.00390625","Yes"
"18","127.9385694085876","105.61226754054347","0.016845703125","0.006087110260508004","0.030029296875","0.003662109375","2180","0.0007520228823359766","32","0.0007520228823359766","0","0.0007520228823359766","0.0007520228823359766","11:0.002018926413077965;31:0.005904117206652626","11:68;31:68","11:0.00202750970369589;31:0.002052852700480279","0.016845703125","0.0087890625","Yes"
"19","159.01420627691257","171.48879820190857","0.025634765625","0.0060446027832146716","0.01953125","0.03173828125","2180","0.00038584415863359393","32","0.00038584415863359393","0","0.00038584415863359393","0.00038584415863359393","35:0.0010931986185952203;15:0.0017027037523688893","35:68;15:68","35:0.0015345062819416277;15:0.001883622527997314","0.025634765625","0.01513671875","Yes"
